epoch,accuracy,loss,val_accuracy,val_loss
0,0.7851865291595459,0.5485026836395264,0.8235572576522827,0.3059808611869812
1,0.7857385277748108,0.5508802533149719,0.9998282194137573,0.22320008277893066
2,0.7895164489746094,0.5486833453178406,0.9998282194137573,0.1976642906665802
3,0.7949214577674866,0.543613076210022,0.9998511075973511,0.08337247371673584
4,0.7999587655067444,0.543336033821106,0.9998511075973511,0.06513379514217377
5,0.8017739057540894,0.5396487712860107,0.9998511075973511,0.07133019715547562
6,0.8045418858528137,0.5428033471107483,0.9890069365501404,0.10235445946455002
7,0.8053207993507385,0.5408853888511658,0.9998511075973511,0.05033612623810768
8,0.8052451014518738,0.5409258604049683,0.9998511075973511,0.04856713488698006
9,0.8064845204353333,0.5405455231666565,0.9998511075973511,0.037338707596063614
10,0.8070294260978699,0.5387691855430603,0.9998472929000854,0.031080247834324837
11,0.8075109124183655,0.5379039645195007,0.9998511075973511,0.01957552880048752
12,0.8094783425331116,0.534048855304718,0.9998511075973511,0.006906714290380478
13,0.8125086426734924,0.5307397246360779,0.9998511075973511,0.003725456539541483
14,0.8134417533874512,0.5268615484237671,0.9998511075973511,0.003872572910040617
15,0.8138726353645325,0.5269865393638611,0.9998511075973511,0.003575786715373397
16,0.8155665993690491,0.5218572616577148,0.9998511075973511,0.003553163493052125
17,0.8144150972366333,0.5265079736709595,0.9998511075973511,0.004466010723263025
18,0.8140963315963745,0.5231215357780457,0.9998511075973511,0.003571827430278063
