epoch,accuracy,loss,val_accuracy,val_loss
0,0.7880114316940308,0.5426397919654846,0.9998511075973511,0.12057780474424362
1,0.7981979846954346,0.5376075506210327,0.9998511075973511,0.05918389931321144
2,0.8073453903198242,0.5313211679458618,0.8928098678588867,0.3097704350948334
3,0.8111394047737122,0.5261670351028442,0.8927754759788513,0.30448874831199646
4,0.8129849433898926,0.5203815698623657,0.8927716612815857,0.34984466433525085
5,0.814327597618103,0.5196532011032104,0.8927678465843201,0.41565608978271484
6,0.8155108094215393,0.5174922347068787,0.8927678465843201,0.12806719541549683
7,0.815850555896759,0.5168439149856567,0.8927678465843201,0.3473673462867737
8,0.8153445720672607,0.5160189867019653,0.9631121158599854,0.07394590228796005
9,0.8144649863243103,0.5155332088470459,0.8927678465843201,0.1138945072889328
10,0.8155034184455872,0.5123926401138306,0.8927678465843201,0.22954121232032776
11,0.8155166506767273,0.5118581652641296,0.8927678465843201,0.2672918736934662
12,0.8149000406265259,0.5130336880683899,0.8927678465843201,0.5128418803215027
13,0.8158532381057739,0.515023946762085,0.8927678465843201,0.5618287920951843
14,0.8154008388519287,0.5188999176025391,0.8927678465843201,0.8677918314933777
15,0.8149775862693787,0.5179578065872192,0.8927678465843201,0.2812202274799347
16,0.8144493699073792,0.5172673463821411,0.8927678465843201,0.532637894153595
17,0.8144799470901489,0.5172370672225952,0.8927678465843201,0.8291252851486206
18,0.814255952835083,0.5160526037216187,0.8927678465843201,0.6940225958824158
19,0.8144767880439758,0.5151541233062744,0.8927678465843201,0.6351559162139893
20,0.8146654963493347,0.5147321224212646,0.8927678465843201,0.6791917085647583
21,0.8149065971374512,0.5156884789466858,0.8927678465843201,0.9079552292823792
22,0.815534770488739,0.5142319202423096,0.8927678465843201,0.6864414811134338
