epoch,accuracy,loss,val_accuracy,val_loss
0,0.7864643335342407,0.5132565498352051,0.9998434782028198,0.15630356967449188
1,0.7827246785163879,0.5173165202140808,0.784940242767334,0.48560622334480286
2,0.7819410562515259,0.5258917808532715,0.784940242767334,0.5137168169021606
3,0.7826394438743591,0.5248384475708008,0.7875663638114929,0.47884872555732727
4,0.7869027853012085,0.5199328064918518,0.892023503780365,0.5382606983184814
5,0.7826477885246277,0.5250909328460693,0.7849631309509277,0.5982705354690552
6,0.7825638651847839,0.5254542231559753,0.8927678465843201,0.5781417489051819
7,0.783024787902832,0.5247107744216919,0.8927678465843201,0.5329304337501526
8,0.782939612865448,0.5245760083198547,0.8927678465843201,0.5000026822090149
9,0.7830115556716919,0.5239125490188599,0.7849860191345215,0.45398661494255066
10,0.7829114198684692,0.521197497844696,0.8927678465843201,0.3806597888469696
11,0.784170389175415,0.5161859393119812,0.8928861618041992,0.26182109117507935
12,0.7858191132545471,0.5156121253967285,0.9995687007904053,0.20210474729537964
13,0.7882826924324036,0.5139460563659668,0.8927754759788513,0.18623512983322144
14,0.7854164242744446,0.5160122513771057,0.8927678465843201,0.29739829897880554
15,0.7828328609466553,0.5186346769332886,0.8927678465843201,0.2761014401912689
16,0.7833826541900635,0.5178142786026001,0.9998167753219604,0.10648917406797409
17,0.7899237871170044,0.5110142827033997,0.9998205900192261,0.10051342099905014
18,0.7896892428398132,0.508515477180481,0.8927678465843201,0.15449067950248718
19,0.7898576855659485,0.5103142857551575,0.8927678465843201,0.14605991542339325
20,0.7897950410842896,0.5099180936813354,0.8927678465843201,0.16465438902378082
21,0.7895122766494751,0.5095604658126831,0.8927678465843201,0.1358947455883026
22,0.7890077829360962,0.510002613067627,0.8927678465843201,0.13450631499290466
23,0.7875066995620728,0.5121018886566162,0.8927678465843201,0.27650368213653564
24,0.789423942565918,0.5111750960350037,0.8927678465843201,0.2784343957901001
25,0.789767861366272,0.5105058550834656,0.8927678465843201,0.18141143023967743
26,0.7895252704620361,0.5083587765693665,0.9977326989173889,0.09541086852550507
27,0.7874589562416077,0.5097179412841797,0.8927678465843201,0.1484123319387436
28,0.7873979806900024,0.5112847089767456,0.8927678465843201,0.13973964750766754
